time,ts_utc,ts_et,open,high,low,close
1754071200,2025-08-01 18:00:00+00:00,2025-08-01 14:00:00,22844.75,22855.0,22788.25,22805.5
1754072100,2025-08-01 18:15:00+00:00,2025-08-01 14:15:00,22805.25,22898.25,22804.0,22891.5
1754073000,2025-08-01 18:30:00+00:00,2025-08-01 14:30:00,22891.5,22941.5,22880.75,22940.25
1754073900,2025-08-01 18:45:00+00:00,2025-08-01 14:45:00,22940.25,22942.5,22848.0,22870.25
1754074800,2025-08-01 19:00:00+00:00,2025-08-01 15:00:00,22870.25,22890.0,22853.75,22874.75
1754075700,2025-08-01 19:15:00+00:00,2025-08-01 15:15:00,22873.75,22900.0,22858.75,22877.0
1754076600,2025-08-01 19:30:00+00:00,2025-08-01 15:30:00,22876.75,22891.5,22834.75,22885.75
1754077500,2025-08-01 19:45:00+00:00,2025-08-01 15:45:00,22885.25,22945.0,22867.5,22880.75
1754078400,2025-08-01 20:00:00+00:00,2025-08-01 16:00:00,22881.0,22894.5,22871.5,22892.25
1754079300,2025-08-01 20:15:00+00:00,2025-08-01 16:15:00,22892.75,22894.75,22877.25,22886.75
1754080200,2025-08-01 20:30:00+00:00,2025-08-01 16:30:00,22886.25,22888.0,22874.75,22878.25
1754081100,2025-08-01 20:45:00+00:00,2025-08-01 16:45:00,22878.5,22878.75,22864.5,22869.0
1754258400,2025-08-03 22:00:00+00:00,2025-08-03 18:00:00,22850.5,22897.5,22822.0,22832.0
1754259300,2025-08-03 22:15:00+00:00,2025-08-03 18:15:00,22833.0,22862.0,22827.0,22861.75
1754260200,2025-08-03 22:30:00+00:00,2025-08-03 18:30:00,22862.25,22899.75,22857.75,22884.5
1754261100,2025-08-03 22:45:00+00:00,2025-08-03 18:45:00,22884.75,22915.5,22883.5,22909.0
1754262000,2025-08-03 23:00:00+00:00,2025-08-03 19:00:00,22909.25,22910.5,22882.25,22894.25
1754262900,2025-08-03 23:15:00+00:00,2025-08-03 19:15:00,22894.25,22931.5,22893.75,22921.25
1754263800,2025-08-03 23:30:00+00:00,2025-08-03 19:30:00,22921.0,22922.0,22884.0,22901.5
1754264700,2025-08-03 23:45:00+00:00,2025-08-03 19:45:00,22901.5,22927.0,22889.25,22927.0
1754265600,2025-08-04 00:00:00+00:00,2025-08-03 20:00:00,22927.0,22939.25,22916.75,22930.0
1754266500,2025-08-04 00:15:00+00:00,2025-08-03 20:15:00,22930.25,22944.5,22929.25,22937.25
1754267400,2025-08-04 00:30:00+00:00,2025-08-03 20:30:00,22937.5,22939.25,22920.25,22933.0
1754268300,2025-08-04 00:45:00+00:00,2025-08-03 20:45:00,22932.5,22963.25,22930.0,22956.5
1754269200,2025-08-04 01:00:00+00:00,2025-08-03 21:00:00,22956.25,22965.25,22932.25,22936.5
1754270100,2025-08-04 01:15:00+00:00,2025-08-03 21:15:00,22936.25,22964.0,22935.5,22950.5
1754271000,2025-08-04 01:30:00+00:00,2025-08-03 21:30:00,22950.75,22973.0,22950.25,22958.0
1754271900,2025-08-04 01:45:00+00:00,2025-08-03 21:45:00,22958.5,22964.75,22949.0,22959.0
1754272800,2025-08-04 02:00:00+00:00,2025-08-03 22:00:00,22958.75,22965.75,22949.75,22963.5
1754273700,2025-08-04 02:15:00+00:00,2025-08-03 22:15:00,22963.5,22971.5,22959.0,22962.75
1754274600,2025-08-04 02:30:00+00:00,2025-08-03 22:30:00,22963.0,22974.25,22959.5,22970.75
1754275500,2025-08-04 02:45:00+00:00,2025-08-03 22:45:00,22971.0,22982.25,22963.25,22978.75
1754276400,2025-08-04 03:00:00+00:00,2025-08-03 23:00:00,22979.0,22982.25,22971.5,22978.0
1754277300,2025-08-04 03:15:00+00:00,2025-08-03 23:15:00,22978.0,22979.0,22964.0,22974.5
1754278200,2025-08-04 03:30:00+00:00,2025-08-03 23:30:00,22974.5,22986.0,22970.25,22984.25
1754279100,2025-08-04 03:45:00+00:00,2025-08-03 23:45:00,22983.5,22989.0,22979.25,22987.25
1754280000,2025-08-04 04:00:00+00:00,2025-08-04 00:00:00,22987.75,22988.0,22971.75,22974.75
1754280900,2025-08-04 04:15:00+00:00,2025-08-04 00:15:00,22974.25,22976.75,22952.75,22967.75
1754281800,2025-08-04 04:30:00+00:00,2025-08-04 00:30:00,22967.25,22981.25,22962.0,22974.5
1754282700,2025-08-04 04:45:00+00:00,2025-08-04 00:45:00,22974.25,22975.0,22965.25,22969.25
1754283600,2025-08-04 05:00:00+00:00,2025-08-04 01:00:00,22969.75,22973.5,22962.0,22965.25
1754284500,2025-08-04 05:15:00+00:00,2025-08-04 01:15:00,22965.25,22983.25,22961.0,22979.75
1754285400,2025-08-04 05:30:00+00:00,2025-08-04 01:30:00,22980.0,22995.75,22977.5,22991.5
1754286300,2025-08-04 05:45:00+00:00,2025-08-04 01:45:00,22991.25,22995.75,22980.25,22983.25
1754287200,2025-08-04 06:00:00+00:00,2025-08-04 02:00:00,22983.75,23001.25,22981.0,22997.25
1754288100,2025-08-04 06:15:00+00:00,2025-08-04 02:15:00,22997.75,22999.0,22965.75,22984.0
1754289000,2025-08-04 06:30:00+00:00,2025-08-04 02:30:00,22984.0,22984.75,22947.5,22975.25
1754289900,2025-08-04 06:45:00+00:00,2025-08-04 02:45:00,22975.25,22996.5,22967.0,22990.5
1754290800,2025-08-04 07:00:00+00:00,2025-08-04 03:00:00,22991.25,23018.0,22978.0,23007.75
1754291700,2025-08-04 07:15:00+00:00,2025-08-04 03:15:00,23008.0,23020.0,22997.0,23015.25
1754292600,2025-08-04 07:30:00+00:00,2025-08-04 03:30:00,23015.25,23045.5,23013.0,23031.75
1754293500,2025-08-04 07:45:00+00:00,2025-08-04 03:45:00,23032.0,23040.75,23005.25,23011.25
1754294400,2025-08-04 08:00:00+00:00,2025-08-04 04:00:00,23011.25,23043.5,23006.0,23042.25
1754295300,2025-08-04 08:15:00+00:00,2025-08-04 04:15:00,23042.25,23052.75,23033.75,23035.75
1754296200,2025-08-04 08:30:00+00:00,2025-08-04 04:30:00,23035.75,23048.75,23030.0,23048.25
1754297100,2025-08-04 08:45:00+00:00,2025-08-04 04:45:00,23047.75,23064.75,23043.25,23060.75
1754298000,2025-08-04 09:00:00+00:00,2025-08-04 05:00:00,23060.75,23072.75,23056.25,23070.5
1754298900,2025-08-04 09:15:00+00:00,2025-08-04 05:15:00,23070.75,23072.5,23054.0,23057.0
1754299800,2025-08-04 09:30:00+00:00,2025-08-04 05:30:00,23057.0,23077.75,23056.75,23068.25
1754300700,2025-08-04 09:45:00+00:00,2025-08-04 05:45:00,23068.25,23070.25,23053.25,23055.0
1754301600,2025-08-04 10:00:00+00:00,2025-08-04 06:00:00,23055.5,23068.75,23051.75,23063.75
1754302500,2025-08-04 10:15:00+00:00,2025-08-04 06:15:00,23064.0,23070.75,23058.25,23068.75
1754303400,2025-08-04 10:30:00+00:00,2025-08-04 06:30:00,23068.75,23079.0,23058.5,23069.25
1754304300,2025-08-04 10:45:00+00:00,2025-08-04 06:45:00,23070.0,23072.5,23056.25,23061.75
1754305200,2025-08-04 11:00:00+00:00,2025-08-04 07:00:00,23062.75,23062.75,23033.0,23043.0
1754306100,2025-08-04 11:15:00+00:00,2025-08-04 07:15:00,23043.0,23060.25,23031.5,23058.25
1754307000,2025-08-04 11:30:00+00:00,2025-08-04 07:30:00,23058.0,23077.0,23057.75,23061.25
1754307900,2025-08-04 11:45:00+00:00,2025-08-04 07:45:00,23061.25,23066.75,23039.5,23043.75
1754308800,2025-08-04 12:00:00+00:00,2025-08-04 08:00:00,23044.0,23060.5,23036.5,23048.75
1754309700,2025-08-04 12:15:00+00:00,2025-08-04 08:15:00,23047.75,23077.5,23043.75,23072.25
1754310600,2025-08-04 12:30:00+00:00,2025-08-04 08:30:00,23072.5,23084.0,23064.25,23068.5
1754311500,2025-08-04 12:45:00+00:00,2025-08-04 08:45:00,23068.75,23092.0,23060.25,23075.75
1754312400,2025-08-04 13:00:00+00:00,2025-08-04 09:00:00,23075.5,23085.5,23070.0,23075.75
1754313300,2025-08-04 13:15:00+00:00,2025-08-04 09:15:00,23075.75,23097.25,23074.5,23094.25
1754314200,2025-08-04 13:30:00+00:00,2025-08-04 09:30:00,23094.25,23197.0,23088.75,23189.25
1754315100,2025-08-04 13:45:00+00:00,2025-08-04 09:45:00,23189.5,23258.0,23189.5,23246.5
1754316000,2025-08-04 14:00:00+00:00,2025-08-04 10:00:00,23246.5,23263.75,23213.5,23252.5
1754316900,2025-08-04 14:15:00+00:00,2025-08-04 10:15:00,23252.5,23261.75,23230.0,23249.5
1754317800,2025-08-04 14:30:00+00:00,2025-08-04 10:30:00,23250.0,23254.75,23214.5,23220.75
1754318700,2025-08-04 14:45:00+00:00,2025-08-04 10:45:00,23220.5,23253.5,23194.0,23215.25
1754319600,2025-08-04 15:00:00+00:00,2025-08-04 11:00:00,23214.75,23224.0,23187.5,23212.75
1754320500,2025-08-04 15:15:00+00:00,2025-08-04 11:15:00,23213.0,23223.25,23190.0,23210.75
1754321400,2025-08-04 15:30:00+00:00,2025-08-04 11:30:00,23211.0,23228.5,23198.25,23210.0
1754322300,2025-08-04 15:45:00+00:00,2025-08-04 11:45:00,23210.0,23263.5,23203.25,23254.25
1754323200,2025-08-04 16:00:00+00:00,2025-08-04 12:00:00,23254.0,23267.5,23246.75,23258.5
1754324100,2025-08-04 16:15:00+00:00,2025-08-04 12:15:00,23258.25,23276.75,23256.5,23264.0
1754325000,2025-08-04 16:30:00+00:00,2025-08-04 12:30:00,23264.0,23275.25,23253.0,23259.75
1754325900,2025-08-04 16:45:00+00:00,2025-08-04 12:45:00,23260.0,23279.75,23259.25,23270.25
1754326800,2025-08-04 17:00:00+00:00,2025-08-04 13:00:00,23270.0,23283.75,23265.5,23282.75
1754327700,2025-08-04 17:15:00+00:00,2025-08-04 13:15:00,23282.75,23285.0,23273.5,23280.25
1754328600,2025-08-04 17:30:00+00:00,2025-08-04 13:30:00,23280.5,23286.5,23259.5,23262.5
1754329500,2025-08-04 17:45:00+00:00,2025-08-04 13:45:00,23262.5,23273.0,23240.75,23268.0
1754330400,2025-08-04 18:00:00+00:00,2025-08-04 14:00:00,23268.25,23284.0,23257.5,23263.5
1754331300,2025-08-04 18:15:00+00:00,2025-08-04 14:15:00,23263.0,23273.0,23259.0,23265.75
