time,ts_utc,ts_et,open,high,low,close,volume
1750104000,2025-06-16 20:00:00+00:00,2025-06-16 16:00:00,22175.8,22186.8,21938.8,22172.8,9541
1750104900,2025-06-16 20:15:00+00:00,2025-06-16 16:15:00,22172.5,22175.5,22160.2,22169.5,2146
1750105800,2025-06-16 20:30:00+00:00,2025-06-16 16:30:00,22169.2,22178.8,21943.8,22173,2268
1750106700,2025-06-16 20:45:00+00:00,2025-06-16 16:45:00,22172.2,22174.5,22161.8,22163.2,2575
1750111200,2025-06-16 22:00:00+00:00,2025-06-16 18:00:00,22163.5,22177.5,22150,22156.5,4397
1750112100,2025-06-16 22:15:00+00:00,2025-06-16 18:15:00,22156.8,22160,22148.2,22150.5,1951
1750113000,2025-06-16 22:30:00+00:00,2025-06-16 18:30:00,22150,22150,22095.5,22104.2,9865
1750113900,2025-06-16 22:45:00+00:00,2025-06-16 18:45:00,22104,22106,22065.8,22084.2,11191
1750114800,2025-06-16 23:00:00+00:00,2025-06-16 19:00:00,22085,22116.2,22077.5,22096,8359
1750115700,2025-06-16 23:15:00+00:00,2025-06-16 19:15:00,22096.2,22117.5,22070.8,22081.5,9846
1750116600,2025-06-16 23:30:00+00:00,2025-06-16 19:30:00,22080.8,22088.2,22045,22065.5,12275
1750117500,2025-06-16 23:45:00+00:00,2025-06-16 19:45:00,22066,22073,22012.2,22015.8,16467
1750118400,2025-06-17 00:00:00+00:00,2025-06-16 20:00:00,22016.5,22051.8,22006.8,22045.5,13213
1750119300,2025-06-17 00:15:00+00:00,2025-06-16 20:15:00,22045.2,22076.8,22035,22064,8638
1750120200,2025-06-17 00:30:00+00:00,2025-06-16 20:30:00,22063.8,22070.2,22036,22049.8,7862
1750121100,2025-06-17 00:45:00+00:00,2025-06-16 20:45:00,22049.5,22093,22043.5,22090.2,6823
1750122000,2025-06-17 01:00:00+00:00,2025-06-16 21:00:00,22089.8,22102.2,22047.2,22066,8648
1750122900,2025-06-17 01:15:00+00:00,2025-06-16 21:15:00,22065.8,22073,22044,22070,5254
1750123800,2025-06-17 01:30:00+00:00,2025-06-16 21:30:00,22070,22082,22054.8,22070.2,4633
1750124700,2025-06-17 01:45:00+00:00,2025-06-16 21:45:00,22070.2,22094,22064,22081,4176
1750125600,2025-06-17 02:00:00+00:00,2025-06-16 22:00:00,22081.2,22083.2,22036.8,22042.2,6914
1750126500,2025-06-17 02:15:00+00:00,2025-06-16 22:15:00,22042.5,22058,22026.5,22038,5191
1750127400,2025-06-17 02:30:00+00:00,2025-06-16 22:30:00,22038,22052.8,21812.2,22048.8,3798
1750128300,2025-06-17 02:45:00+00:00,2025-06-16 22:45:00,22049.5,22117.2,22046,22112.5,9413
1750129200,2025-06-17 03:00:00+00:00,2025-06-16 23:00:00,22112.5,22114.8,22058.5,22091.5,7826
1750130100,2025-06-17 03:15:00+00:00,2025-06-16 23:15:00,22091.5,22095,21856.5,22072,3709
1750131000,2025-06-17 03:30:00+00:00,2025-06-16 23:30:00,22073,22097,21850.5,22088.5,3063
1750131900,2025-06-17 03:45:00+00:00,2025-06-16 23:45:00,22088.8,22093,22074.8,22079.5,2538
1750132800,2025-06-17 04:00:00+00:00,2025-06-17 00:00:00,22080,22097,22073.8,22080.5,2557
1750133700,2025-06-17 04:15:00+00:00,2025-06-17 00:15:00,22080.2,22093.5,22071.2,22073.8,2727
1750134600,2025-06-17 04:30:00+00:00,2025-06-17 00:30:00,22073,22074,22052.5,22066.2,3047
1750135500,2025-06-17 04:45:00+00:00,2025-06-17 00:45:00,22066.5,22081,22063,22069.2,2737
1750136400,2025-06-17 05:00:00+00:00,2025-06-17 01:00:00,22069.8,22083.2,22064.2,22083,2106
1750137300,2025-06-17 05:15:00+00:00,2025-06-17 01:15:00,22083,22083.8,22056,22080.2,3473
1750138200,2025-06-17 05:30:00+00:00,2025-06-17 01:30:00,22080.8,22095.2,21860,22086.5,3054
